country,gold,silver,bronze
Argentina,0,1,2
Armenia,0,2,2
Australia,17,7,22
Austria,1,1,5
Azerbaijan,0,3,4
Bahamas,2,0,0
Bahrain,0,1,0
Belarus,1,3,3
Belgium,3,1,3
Bermuda,1,0,0
Botswana,0,0,1
Brazil,7,6,8
Bulgaria,3,1,2
Burkina Faso,0,0,1
Canada,7,6,11
China,38,32,18
Chinese Taipei,2,4,6
Colombia,0,4,1
Croatia,3,3,2
Cuba,7,3,5
Czech Republic,4,4,3
Côte d'Ivoire,0,0,1
Denmark,3,4,4
Dominican Republic,0,3,2
Ecuador,2,1,0
Egypt,1,1,4
Estonia,1,0,1
Ethiopia,1,1,2
Fiji,1,0,1
Finland,0,0,2
France,10,12,11
Georgia,2,5,1
Germany,10,11,16
Ghana,0,0,1
Great Britain,22,21,22
Greece,2,1,1
Grenada,0,0,1
Hong Kong,1,2,3
Hungary,6,7,7
India,1,2,4
Indonesia,1,1,3
Iran,3,2,2
Ireland,2,0,2
Israel,2,0,2
Italy,10,10,20
Jamaica,4,1,4
Japan,27,14,17
Jordan,0,1,1
Kazakhstan,0,0,8
Kenya,4,4,2
Kosovo,2,0,0
Kuwait,0,0,1
Kyrgyzstan,0,2,1
Latvia,1,0,1
Lithuania,0,1,0
Malaysia,0,1,1
Mexico,0,0,4
Moldova,0,0,1
Mongolia,0,1,3
Morocco,1,0,0
Namibia,0,1,0
Netherlands,10,12,14
New Zealand,7,6,7
Nigeria,0,1,1
North Macedonia,0,1,0
Norway,4,2,2
Philippines,1,2,1
Poland,4,5,5
Portugal,1,1,2
Puerto Rico,1,0,0
Qatar,2,0,1
ROC,20,28,23
Romania,1,3,0
San Marino,0,1,2
Saudi Arabia,0,1,0
Serbia,3,1,5
Slovakia,1,2,1
Slovenia,3,1,1
South Africa,1,2,0
South Korea,6,4,10
Spain,3,8,6
Sweden,3,6,0
Switzerland,3,4,6
Syria,0,0,1
Thailand,1,0,1
Tunisia,1,1,0
Turkey,2,2,9
Turkmenistan,0,1,0
Uganda,2,1,1
Ukraine,1,6,12
United States,39,41,33
Uzbekistan,3,0,2
Venezuela,1,3,0
